keywords;docs
['conteudo', 'aula', 'passar', 'tempo', 'faltar', 'bom', 'didatico', 'prova', 'trabalho', 'melhorar', 'claro', 'disciplina', 'pouco', 'dar', 'avaliacao'];
['excelente', 'didaticar', 'dominio', 'disciplina', 'conteudo', 'assunto', 'bom', 'sempre', 'materia', 'professora', 'forma', 'sala', 'ministrar', 'aula', 'aprendizar'];
['bom', 'otimo', 'didaticar', 'professora', 'conteudo', 'bem', 'excelente', 'muito', 'profissional', 'semestre', 'nivel', 'disciplina', 'didatico', 'explicar', 'assunto'];
['aula', 'passar', 'prova', 'conteudo', 'fazer', 'disciplina', 'trabalho', 'avaliacao', 'semestre', 'pouco', 'deixar', 'forma', 'poder', 'conseguir', 'ter'];
['excelente', 'profissional', 'docente', 'aula', 'estudar', 'organizar', 'sentir', 'desafia', 'possuir', 'didatico', 'preparar', 'ponto', 'geral', 'parabem', 'altamente'];
['bom', 'aula', 'semestre', 'ja', 'gente', 'poder', 'repassar', 'matematico', 'padrao', 'esforcar', 'adorar', 'super', 'otimos', 'materia', 'fazer'];
['otimo', 'dinamico', 'profissional', 'dedicar', 'lecionar', 'atencao', 'carisma', 'semestr', 'aprender', 'perfeito', 'ensino', 'parceiro', 'dispoe', 'proffisional', 'sucesso'];
['bem', 'explicar', 'ensinar', 'assunto', 'interage', 'educar', 'saber', 'dominar', 'conhecer', 'con', 'lecionar', 'raciocinio', 'maravilhoso', 'bastante', 'eficiente'];
['atencioso', 'prestativo', 'dedicar', 'disposicao', 'interessado', 'repetir', 'assiduo', 'entender', 'disciplinar', 'super', 'minucioso', 'dispostar', 'aprendizar', 'tecnico', 'cobra'];
['didatico', 'melhorar', 'precisar', 'falta', 'deixar', 'recurso', 'estremamente', 'organizar', 'dialogo', 'tics', 'utilizar', 'claro', 'altamente', 'exemplo', 'pouco'];
['dominio', 'assunto', 'conteudo', 'sobre', 'bastante', 'materia', 'disciplina', 'ministrar', 'portugue', 'contextualizar', 'ensinar', 'tratar', 'forma', 'claro', 'alto'];
['didaticar', 'ruim', 'fraco', 'possuir', 'atencao', 'objetiva', 'corrida', 'incrivel', 'ponto', 'objetivo', 'parabem', 'abordar', 'pessimo', 'paciencia', 'abordagem'];
['professora', 'maravilhoso', 'vontade', 'adequado', 'muito', 'aprender', 'grandississimar', 'sentir', 'noto', 'esforcar', 'bastante', 'atualizar', 'boa', 'melhorar', 'ensinar'];
['sempre', 'ajudar', 'disposto', 'duvir', 'duvida', 'prestativo', 'presente', 'claro', 'dedicar', 'tirar', 'materia', 'esclarecer', 'objetiva', 'buscar', 'trazer'];
['conhecimento', 'geral', 'assunto', 'ministrar', 'comentario', 'amplo', 'saber', 'tanto', 'estudo', 'areo', 'profundo', 'interessar', 'aprofundar', 'aceitavel', 'positivo'];
['faltar', 'aulo', 'sala', 'comunicacao', 'experiencia', 'avisar', 'pontual', 'dentro', 'visto', 'de aquilo', 'dificilmente', 'apresentar', 'questoes', 'pessoal', 'compromisso'];
['excelente', 'sempre', 'otimo', 'bem', 'boa', 'didatica', 'otima', 'bom', 'duvidas', 'assunto', 'explica', 'conteudo', 'sobre', 'super', 'objetiva'];['professor excelente', 'excelente professor', 'excelente docente !!']
